id,user_id,target_id,count,character,press_time,release_time
398,2,2,6,n,1535654353074,1535654353250
399,2,2,6,u,1535654353221,1535654353320
400,2,2,6,m,1535654353521,1535654353662
401,2,2,6,o,1535654353609,1535654353731
402,2,2,6,a,1535654353830,1535654354016
403,2,2,6,r,1535654354213,1535654354332
404,2,2,6,u,1535654354307,1535654354378
405,2,2,6,k,1535654354534,1535654354643
406,2,2,6,e,1535654354639,1535654354741
407,2,2,6,b,1535654354776,1535654354871
408,2,2,6,a,1535654354861,1535654354976
409,2,2,6,b,1535654354999,1535654355128
410,2,2,6,o,1535654355074,1535654355213
411,2,2,6,u,1535654355217,1535654355325
412,2,2,6,n,1535654355422,1535654355552
413,2,2,6,i,1535654355529,1535654355635
414,2,2,6,a,1535654355763,1535654355897
415,2,2,6,t,1535654355994,1535654356103
416,2,2,6,a,1535654356091,1535654356219
417,2,2,6,r,1535654356239,1535654356349
418,2,2,6,u,1535654356352,1535654356436
419,2,2,7,i,1535654358833,1535654358909
420,2,2,7,n,1535654359003,1535654359182
421,2,2,7,u,1535654359128,1535654359215
422,2,2,7,m,1535654359376,1535654359506
423,2,2,7,o,1535654359956,1535654360052
424,2,2,7,a,1535654360246,1535654360357
425,2,2,7,r,1535654360453,1535654360539
426,2,2,7,u,1535654360627,1535654360693
427,2,2,7,k,1535654361006,1535654361095
428,2,2,7,e,1535654361109,1535654361202
429,2,2,7,b,1535654361238,1535654361317
430,2,2,7,a,1535654361345,1535654361461
431,2,2,7,b,1535654361466,1535654361588
432,2,2,7,o,1535654361579,1535654361664
433,2,2,7,u,1535654361669,1535654361757
434,2,2,7,n,1535654361901,1535654362036
435,2,2,7,i,1535654361980,1535654362089
436,2,2,7,a,1535654362161,1535654362273
437,2,2,7,t,1535654362479,1535654362585
438,2,2,7,a,1535654362559,1535654362706
439,2,2,7,r,1535654362747,1535654362859
440,2,2,7,u,1535654362827,1535654362896
441,2,2,8,i,1535654365727,1535654365800
442,2,2,8,n,1535654365911,1535654366071
443,2,2,8,u,1535654366047,1535654366145
444,2,2,8,m,1535654366300,1535654366428
445,2,2,8,o,1535654366422,1535654366483
446,2,2,8,a,1535654366881,1535654366996
447,2,2,8,r,1535654367115,1535654367220
448,2,2,8,u,1535654367249,1535654367293
449,2,2,8,k,1535654367465,1535654367560
450,2,2,8,e,1535654367563,1535654367662
451,2,2,8,b,1535654367711,1535654367800
452,2,2,8,a,1535654367806,1535654367917
453,2,2,8,b,1535654367932,1535654368038
454,2,2,8,o,1535654368012,1535654368127
455,2,2,8,u,1535654368126,1535654368219
456,2,2,8,n,1535654368316,1535654368440
457,2,2,8,i,1535654368410,1535654368525
458,2,2,8,a,1535654368552,1535654368671
459,2,2,8,t,1535654368721,1535654368806
460,2,2,8,a,1535654368788,1535654368919
461,2,2,8,r,1535654368960,1535654369078
462,2,2,8,u,1535654369068,1535654369139
463,2,2,9,i,1535654391485,1535654391561
464,2,2,9,n,1535654391691,1535654391894
465,2,2,9,u,1535654391846,1535654391935
466,2,2,9,m,1535654392123,1535654392269
467,2,2,9,o,1535654392235,1535654392342
468,2,2,9,a,1535654392715,1535654392850
469,2,2,9,r,1535654392904,1535654393024
470,2,2,9,u,1535654393020,1535654393080
471,2,2,9,k,1535654393235,1535654393325
472,2,2,9,e,1535654393332,1535654393422
473,2,2,9,b,1535654393464,1535654393558
474,2,2,9,a,1535654393545,1535654393640
475,2,2,9,b,1535654393819,1535654393973
476,2,2,9,o,1535654393964,1535654394077
477,2,2,9,u,1535654394120,1535654394217
478,2,2,9,n,1535654394357,1535654394466
479,2,2,9,i,1535654394404,1535654394532
480,2,2,9,a,1535654394655,1535654394788
481,2,2,9,t,1535654394827,1535654394919
482,2,2,9,a,1535654394906,1535654395036
483,2,2,9,r,1535654395043,1535654395151
484,2,2,9,u,1535654395155,1535654395227
485,2,2,10,i,1535654397632,1535654397723
486,2,2,10,n,1535654397839,1535654398015
487,2,2,10,u,1535654397967,1535654398048
488,2,2,10,m,1535654398200,1535654398324
489,2,2,10,o,1535654398272,1535654398389
490,2,2,10,a,1535654398505,1535654398622
491,2,2,10,r,1535654398664,1535654398792
492,2,2,10,u,1535654398780,1535654398847
493,2,2,10,k,1535654398981,1535654399076
494,2,2,10,e,1535654399061,1535654399153
495,2,2,10,b,1535654399190,1535654399270
496,2,2,10,a,1535654399262,1535654399350
497,2,2,10,b,1535654399409,1535654399593
498,2,2,10,o,1535654399575,1535654399732
499,2,2,10,u,1535654399736,1535654399833
500,2,2,10,n,1535654399940,1535654400081
501,2,2,10,i,1535654400024,1535654400144
502,2,2,10,a,1535654400180,1535654400303
503,2,2,10,t,1535654400304,1535654400412
504,2,2,10,a,1535654400398,1535654400521
505,2,2,10,r,1535654400539,1535654400653
506,2,2,10,u,1535654400662,1535654400730
507,2,2,11,i,1535654408329,1535654408412
508,2,2,11,n,1535654408527,1535654408688
509,2,2,11,u,1535654408653,1535654408756
510,2,2,11,m,1535654408927,1535654409058
511,2,2,11,o,1535654408986,1535654409106
512,2,2,11,a,1535654409221,1535654409334
513,2,2,11,r,1535654409388,1535654409526
514,2,2,11,u,1535654409522,1535654409579
515,2,2,11,k,1535654409724,1535654409825
516,2,2,11,e,1535654409827,1535654409916
517,2,2,11,b,1535654409972,1535654410060
518,2,2,11,a,1535654410048,1535654410153
519,2,2,11,b,1535654410204,1535654410320
520,2,2,11,o,1535654410265,1535654410381
521,2,2,11,u,1535654410418,1535654410517
522,2,2,11,n,1535654410667,1535654410808
523,2,2,11,i,1535654410767,1535654410878
524,2,2,11,a,1535654411009,1535654411136
525,2,2,11,t,1535654411150,1535654411262
526,2,2,11,a,1535654411240,1535654411362
527,2,2,11,r,1535654411376,1535654411482
528,2,2,11,u,1535654411477,1535654411539
529,3,3,0,i,1535672723824,1535672723943
530,3,3,0,n,1535672724106,1535672724269
531,3,3,0,u,1535672724650,1535672724751
532,3,3,0,m,1535672725072,1535672725254
533,3,3,0,o,1535672725234,1535672725356
534,3,3,0,a,1535672725884,1535672726027
535,3,3,0,r,1535672727206,1535672727308
536,3,3,0,u,1535672727350,1535672727470
537,3,3,0,k,1535672727684,1535672727826
538,3,3,0,e,1535672728055,1535672728155
539,3,3,0,b,1535672729026,1535672729147
540,3,3,0,a,1535672729178,1535672729299
